"anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
1,2,1,2,2,3,4,1,2,4
0,3,0,2,1,0,1,1,3,2
2,3,1,3,3,3,1,5,6,5
2,3,2,2,2,2,2,2,5,3
18,16,14,30,15,25,12,29,47,47
3,6,4,5,3,4,4,6,6,7
3,2,2,3,2,2,2,4,12,6
6,6,6,11,3,6,6,3,12,9
5,8,5,7,4,6,2,6,15,12
0,3,0,1,1,0,2,1,2,2
8,12,6,9,10,6,5,10,11,27
2,0,1,4,1,1,0,1,2,5
13,26,8,24,19,17,21,16,36,34
2,1,2,3,0,4,1,2,6,2
6,16,5,15,18,11,11,26,19,36
3,5,3,4,6,6,3,8,8,10
4,9,2,8,4,3,3,5,12,20
3,5,1,3,3,7,3,9,11,14
18,29,12,28,18,29,20,38,54,56
6,11,3,13,8,10,10,12,19,33
6,14,4,12,16,12,13,17,22,35
3,1,1,4,2,3,1,4,4,4
7,15,5,11,12,11,12,13,19,21
0,4,2,4,3,4,1,4,7,10
3,9,2,2,3,2,2,4,5,6
7,20,6,11,11,10,6,13,25,26
1,8,1,5,3,2,3,3,2,6
10,14,9,11,5,9,7,14,23,17
4,4,2,4,2,5,2,4,9,10
2,4,2,4,2,2,1,4,4,5
1,6,0,2,3,3,3,7,4,8
1,7,0,1,4,2,1,5,3,10
4,6,5,8,2,4,4,4,9,2
1,4,1,1,2,0,4,3,2,4
7,5,6,4,3,5,3,8,16,11
4,4,2,4,5,5,2,4,6,9
1,0,3,2,1,3,1,2,5,2
5,7,2,7,3,7,0,4,17,9
11,29,6,26,18,14,16,26,31,42
0,4,0,4,2,4,1,6,4,4
3,11,5,2,7,6,6,11,9,18
0,4,0,2,2,4,1,3,4,4
7,9,3,12,9,13,5,12,22,22
5,10,4,6,9,8,8,9,15,19
3,5,3,9,5,3,6,6,6,7
7,19,2,9,8,13,11,12,19,29
0,5,1,3,3,1,2,5,2,9
3,10,3,12,4,4,3,9,14,14
4,8,1,8,5,6,5,9,9,13
3,4,3,3,2,8,4,5,7,9
5,7,5,7,2,4,4,5,10,9
1,3,0,2,1,4,0,3,5,3
7,8,6,6,7,10,3,18,20,30
0,0,0,1,2,4,1,1,2,4
4,3,3,5,2,5,4,5,8,3
1,1,0,1,2,3,0,2,5,3
1,2,3,1,1,1,1,2,5,4
1,6,1,5,4,2,4,5,6,8
21,28,11,24,20,22,11,26,52,47
3,3,2,4,1,6,3,3,8,1
5,10,1,7,6,4,6,7,11,16
7,12,7,9,7,13,6,11,18,19
6,7,3,6,4,3,5,8,10,12
3,4,2,1,3,2,1,2,2,6
2,6,3,2,5,4,6,5,6,13
1,7,1,1,5,2,4,5,6,9
3,6,2,9,5,3,4,6,9,9
2,2,1,4,2,1,3,2,4,3
